Time,NormalisedFlux
0.0,1.0562824533951902
1.0,1.0519829026667242
2.0,1.082976584971403
3.0,1.097926907604067
4.0,1.1035410619711543
5.0,1.0630353173567855
6.0,1.0996427199480086
7.0,1.10016001350877
8.0,1.0548166947284776
9.0,1.0285014745795862
10.0,1.0475798343096556
11.0,1.0641197304880876
12.0,1.035316710847157
13.0,1.043981810483427
14.0,1.0424464868652459
15.0,1.0654787214110235
16.0,1.0576999367672277
17.0,1.0159829577037611
18.0,1.004846440004122
19.0,1.0272021373234337
20.0,1.0093799056487223
21.0,1.0299325159845027
22.0,1.0119423930473186
23.0,0.9600159406316923
24.0,0.9953297575905805
25.0,0.9947925773564746
26.0,0.9798777120912422
27.0,0.956670952570227
28.0,0.968985275444792
29.0,0.9663184900732886
30.0,0.9468592687949364
31.0,0.9784701491104069
32.0,0.9420857663359531
33.0,0.9492021417116211
34.0,0.947950384515626
35.0,0.940768811913354
36.0,0.9224705314351359
37.0,0.9421954705444502
38.0,0.902309873485198
39.0,0.9073354564426304
40.0,0.907358975469759
41.0,0.8893231184318521
42.0,0.948522635662742
43.0,0.9128156964444634
44.0,0.9654881941701575
45.0,0.9971145732382783
46.0,1.0558464258648526
47.0,1.0747494011686236
48.0,1.063897288061099
49.0,1.1215422028338666
50.0,1.0905588169694544
51.0,1.1005521177675235
52.0,1.0619933553006766
53.0,1.0596890002270984
54.0,1.0714811943674851
55.0,1.0524793998505866
56.0,1.062227773872552
57.0,1.0450416862951966
58.0,1.0124839124757636
59.0,1.0462279206361567
60.0,1.0417140100770188
61.0,1.0693757276806302
62.0,1.03097416686269
63.0,1.0056781832481665
64.0,1.0177282402167895
65.0,0.9957662328454829
66.0,0.9767448718511883
67.0,1.0114844992131888
68.0,0.9887783339851581
69.0,0.9918380329699429
70.0,1.0040558511277982
71.0,0.9724635494292768
72.0,0.9871592202168613
73.0,0.9746066995215584
74.0,0.9771542991983955
75.0,0.9732927943775771
76.0,0.97359865425414
77.0,0.9707155483156087
78.0,0.9602283409150328
79.0,0.9511934315526122
80.0,0.9227930831084818
81.0,0.9624858057383653
82.0,0.9352766111989382
83.0,0.9686158270542865
84.0,0.9057569576814104
85.0,0.904382311128817
86.0,0.8885812475283533
87.0,0.8996429520458521
88.0,0.9168758819116015
89.0,0.950393184322852
90.0,0.9233049162487384
91.0,0.9535285441750115
92.0,1.014954278237374
93.0,1.072112395743417
94.0,1.038441285430898
95.0,1.0768397584628497
96.0,1.0675403543260227
97.0,1.0991652029708376
98.0,1.0855279482781963
99.0,1.0533682332643441
100.0,1.0607388230621515
101.0,1.0401983409302626
102.0,1.058327285039352
103.0,1.0299381255796678
104.0,1.0505925451286202
105.0,1.025964336030254
106.0,1.0468581433451545
107.0,1.017764084440576
108.0,1.0330945532319677
109.0,1.0188714162282737
110.0,1.0240364643562703
111.0,1.0032711690419047
112.0,0.9830153099340067
113.0,1.0049335813509734
114.0,0.9976025519621463
115.0,1.000504454946492
116.0,0.9986808346448541
117.0,1.0116585210503228
118.0,0.9942241799695862
119.0,0.989868005707655
120.0,0.9978195427705815
