Time,NormalisedFlux
0.0,0.9597110622893447
1.0,0.9941348642280358
2.0,0.9454845175928529
3.0,0.9357635796369497
4.0,0.9235378620540775
5.0,0.9094635894269957
6.0,0.9246252937378272
7.0,0.9040656111105243
8.0,0.8677259859718408
9.0,0.9426300572038632
10.0,0.9624092742340044
11.0,1.0192757815442257
12.0,1.008576076827815
13.0,1.037931186520992
14.0,1.060165379180896
15.0,1.0779022184672404
16.0,1.0848233518875965
17.0,1.0822936229244493
18.0,1.1033897642209498
19.0,1.0602560128112961
20.0,1.0287198807475255
21.0,1.024438006688749
22.0,1.0182868319075529
23.0,1.0341951688846591
24.0,1.0452510659790128
25.0,1.0575909695723775
26.0,1.0641646171746737
27.0,1.0567189130332861
28.0,1.045480746056858
29.0,0.9949592318081365
30.0,1.0078332515984614
31.0,1.0073060219391248
32.0,1.0162900750271655
33.0,0.9857311351482746
34.0,1.0360060267292606
35.0,0.987200451039127
36.0,0.9642049444252533
37.0,0.9929840243774611
38.0,0.9755444532477605
39.0,0.9689216355498091
40.0,0.950216004490179
41.0,0.9583329205622527
42.0,0.9439046115135298
43.0,0.9748082697928833
44.0,0.9607112664919698
45.0,0.9756148017986923
46.0,0.954786437103264
47.0,0.9368537211256981
48.0,0.9295656293178124
49.0,0.9103791384324526
50.0,0.9202966886574729
51.0,0.9055468414244764
52.0,0.9256510213150712
53.0,0.9094777374013309
54.0,0.9330437313721591
55.0,0.9909478638435093
56.0,1.031000157043611
57.0,1.0283784072057283
58.0,1.0860888761930128
59.0,1.0941349024987108
60.0,1.1134556728867273
61.0,1.1262434515954165
62.0,1.0735688475376846
63.0,1.08449341286743
64.0,1.065157598816704
65.0,1.0543464133290448
66.0,1.0561858200922218
67.0,1.017827462828605
68.0,1.0491193670023617
69.0,1.062809213281284
70.0,1.0598966894368171
71.0,1.0089224237227123
72.0,1.038137348931777
73.0,1.012800706590545
74.0,1.0177189474391253
75.0,1.02085080866132
76.0,0.9927282119648618
77.0,1.0078290527924822
78.0,1.0085660206291842
79.0,1.013227680483558
80.0,1.0020548815207384
81.0,0.9826576912261621
82.0,0.9714101552475409
83.0,0.9810163593047112
84.0,0.9463434492140909
85.0,0.9869592057725357
86.0,0.967817347223533
87.0,0.96135763401287
88.0,0.9221497744479185
89.0,0.9388671783131706
90.0,0.9680115819400124
91.0,0.95692565865082
92.0,0.9754984150359233
93.0,0.9216611764439148
94.0,0.9456582227438766
95.0,0.9220174622247168
96.0,0.8834800628578451
97.0,0.898798465795637
98.0,0.9172633971150819
99.0,0.9561316738013171
100.0,0.9865159380485267
101.0,1.0103398389676095
102.0,1.0705788541705143
103.0,1.090313738351653
104.0,1.074071858038897
105.0,1.099087818784476
106.0,1.0752831768817084
107.0,1.0686193383381777
108.0,1.076904701551133
109.0,1.0696187222073266
110.0,1.0800335073735643
111.0,1.0519952923119735
112.0,1.052855340205871
113.0,1.0594889112651282
114.0,1.0866075665222996
115.0,1.0422583100018885
116.0,1.0527255865848963
117.0,1.000977867429957
118.0,0.9974750894718671
119.0,1.0219686157977854
120.0,1.0184453719699187
