Time,NormalisedFlux
0.0,0.8549123327385384
1.0,0.9396417844555996
2.0,0.910638337576722
3.0,0.9251236458205536
4.0,1.0419262735638246
5.0,1.0756559039321525
6.0,1.1492107911338223
7.0,1.175139389488521
8.0,1.2237885672983924
9.0,1.2292769158331267
10.0,1.0878926197314307
11.0,1.1670403282947097
12.0,1.1329271282817277
13.0,1.0698222803504427
14.0,1.0409340785813161
15.0,1.0152620098910656
16.0,0.9347054995998313
17.0,0.8817811508891095
18.0,0.7681296649218403
19.0,0.7784203314274893
20.0,0.8175053143583391
21.0,0.8510356175092609
22.0,0.8445432082875237
23.0,0.8524597060309582
24.0,0.9141067697001974
25.0,1.038479346195983
26.0,1.005918459966608
27.0,1.0909400881687887
28.0,1.1307557065788227
29.0,1.1248887738180922
30.0,1.2209670914464896
31.0,1.2221248856043094
32.0,1.1997316500762856
33.0,1.1111427339077409
34.0,1.1243085054392818
35.0,1.1305008754377035
36.0,1.0467398280872262
37.0,0.9793128006368835
38.0,0.9355388504386046
39.0,0.8665078510291817
40.0,0.7750520844347412
41.0,0.777293894328279
42.0,0.8192347276968741
43.0,0.7613206947582857
44.0,0.8731181160126538
45.0,0.8721505915352269
46.0,0.9615699203828649
47.0,0.9194889330283508
48.0,1.0694106930243705
49.0,1.0546081322380985
50.0,1.142399386453303
51.0,1.1842540908923669
52.0,1.2048613443925318
53.0,1.2486916560386048
54.0,1.18168927426633
55.0,1.2254016157301926
56.0,1.110824037068519
57.0,1.1065635261977014
58.0,1.0860579766574168
59.0,0.916232235517235
60.0,0.9264810761981781
61.0,0.8537434827494862
62.0,0.8928694846238541
63.0,0.7770800008689989
64.0,0.8066480153438844
65.0,0.8271674597538198
66.0,0.9161133817769107
67.0,0.9180751133336986
68.0,0.9490735289320201
69.0,1.0124884466243782
70.0,1.0109115064083765
71.0,1.1177118863533766
72.0,1.1891050208445535
73.0,1.1475638605686702
74.0,1.1864090447676428
75.0,1.162373944039744
76.0,1.1869250563867462
77.0,1.167167322031679
78.0,1.1436621252732595
79.0,1.0339919368175026
80.0,0.9939081303081353
81.0,0.9023094918861708
82.0,0.92839403695905
83.0,0.8342934731599191
84.0,0.825561663935492
85.0,0.7813174143626551
86.0,0.7742431960184479
87.0,0.7789762695754641
88.0,0.8194301397654231
89.0,0.8133194122446274
90.0,0.8291469289642914
91.0,0.9712298970419982
92.0,1.0713460864416482
93.0,1.1578278675710205
94.0,1.2092496557072088
95.0,1.159696968845128
96.0,1.2207623329031267
97.0,1.2280734194786804
98.0,1.2497042848191213
99.0,1.1757329882335068
100.0,1.1212188194408113
101.0,1.107870797599947
102.0,0.9987079497042197
103.0,0.9405629066297404
104.0,0.9241095512012292
105.0,0.8932718453511735
106.0,0.7910562637712604
107.0,0.7781128267534593
108.0,0.8054389956570012
109.0,0.7928658509578332
110.0,0.8201592463645601
111.0,0.8892562886602173
112.0,0.8872279256032056
113.0,0.9773993283015621
114.0,1.0485708605721653
115.0,1.0573041250798354
116.0,1.1387545796267298
117.0,1.2357906453517422
118.0,1.1986301169269042
119.0,1.195709703401181
120.0,1.1687996961935414
